['roate', 'tweel', 'alter']                            ['ybyyy', 'ybbgy', 'ggggg']                            alter True
['roate', 'slick', 'aargh', 'amass']                   ['bbgbb', 'ybbbb', 'gybbb', 'ggggg']                   amass True
['roate', 'plish', 'adawn', 'amaze']                   ['bbgbg', 'bbbbb', 'gbgbb', 'ggggg']                   amaze True
['roate', 'balms', 'amber']                            ['ybyby', 'yybyb', 'ggggg']                            amber True
['roate', 'galis', 'ample', 'amble']                   ['bbybg', 'byybb', 'ggbgg', 'ggggg']                   amble True
['roate', 'genal', 'ashen', 'amend']                   ['bbyby', 'byyyb', 'gbbyy', 'ggggg']                   amend True
['roate', 'lysin', 'amiss']                            ['bbybb', 'bbyyb', 'ggggg']                            amiss True
['roate', 'snipy', 'amity']                            ['bbygb', 'bbgbg', 'ggggg']                            amity True
['roate', 'linos', 'agony', 'among']                   ['byybb', 'bbyyb', 'gyggb', 'ggggg']                   among True
['roate', 'galis', 'ample']                            ['bbybg', 'byybb', 'ggggg']                            ample True
['roate', 'lysin', 'balmy', 'amply']                   ['bbybb', 'yybbb', 'byyyg', 'ggggg']                   amply True
['roate', 'galis', 'abuse', 'amuse']                   ['bbybg', 'bybby', 'gbggg', 'ggggg']                   amuse True
['roate', 'genal', 'angel']                            ['bbyby', 'yyyyg', 'ggggg']                            angel True
['roate', 'balms', 'cedar', 'anger']                   ['ybyby', 'bybbb', 'bybyg', 'ggggg']                   anger True
['roate', 'galis', 'algae', 'angle']                   ['bbybg', 'yyybb', 'gygbg', 'ggggg']                   angle True
['roate', 'carrs', 'angry']                            ['ybybb', 'bybgb', 'ggggg']                            angry True
['roate', 'clint', 'angst']                            ['bbyyb', 'bbbyg', 'ggggg']                            angst True
['roate', 'galis', 'abide', 'anime']                   ['bbybg', 'bybyb', 'gbgbg', 'ggggg']                   anime True
['roate', 'galis', 'ample', 'ankle']                   ['bbybg', 'byybb', 'gbbgg', 'ggggg']                   ankle True
['roate', 'genal', 'annex']                            ['bbyby', 'bygyb', 'ggggg']                            annex True
['roate', 'linos', 'annoy']                            ['byybb', 'bbggb', 'ggggg']                            annoy True
['roate', 'lysin', 'banal', 'annul']                   ['bbybb', 'ybbby', 'bygbg', 'ggggg']                   annul True
['roate', 'aband', 'anode']                            ['byybg', 'gbbyy', 'ggggg']                            anode True
['roate', 'clint', 'antic']                            ['bbyyb', 'ybyyy', 'ggggg']                            antic True
['roate', 'lysin', 'anvil']                            ['bbybb', 'ybbgy', 'ggggg']                            anvil True
['roate', 'aorta']                                     ['ygygb', 'ggggg']                                     aorta True
['roate', 'crims', 'apart']                            ['ybgyb', 'bybbb', 'ggggg']                            apart True
['roate', 'lysin', 'adage', 'aphid']                   ['bbybb', 'bbbgb', 'gybbb', 'ggggg']                   aphid True
['roate', 'lysin', 'aging', 'aping']                   ['bbybb', 'bbbyy', 'gbggg', 'ggggg']                   aping True
['roate', 'genal', 'annex', 'apnea']                   ['bbyby', 'bygyb', 'gbggb', 'ggggg']                   apnea True
['roate', 'galis', 'ample', 'apple']                   ['bbybg', 'byybb', 'gbggg', 'ggggg']                   apple True
['roate', 'lysin', 'balmy', 'apply']                   ['bbybb', 'yybbb', 'byybg', 'ggggg']                   apply True
['roate', 'macon', 'apron']                            ['yyybb', 'bybgg', 'ggggg']                            apron True
